t_idx,yaw,orientation,wind_dir,time
553,4,0.0,225.0,225.0,244.0
554,5,0.0,225.0,225.0,244.0
555,6,0.0,225.0,225.0,244.0
556,7,0.0,225.0,225.0,244.0
557,8,0.0,225.0,225.0,244.0
558,0,0.0,225.0,225.0,248.0
559,1,0.0,225.0,225.0,248.0
560,2,0.0,225.0,225.0,248.0
561,3,0.0,225.0,225.0,248.0
562,4,0.0,225.0,225.0,248.0
563,5,0.0,225.0,225.0,248.0
564,6,0.0,225.0,225.0,248.0
565,7,0.0,225.0,225.0,248.0
566,8,0.0,225.0,225.0,248.0
567,0,0.0,225.0,225.0,252.0
568,1,0.0,225.0,225.0,252.0
569,2,0.0,225.0,225.0,252.0
570,3,0.0,225.0,225.0,252.0
571,4,0.0,225.0,225.0,252.0
572,5,0.0,225.0,225.0,252.0
573,6,0.0,225.0,225.0,252.0
574,7,0.0,225.0,225.0,252.0
575,8,0.0,225.0,225.0,252.0
576,0,0.0,225.0,225.0,256.0
577,1,0.0,225.0,225.0,256.0
578,2,0.0,225.0,225.0,256.0
579,3,0.0,225.0,225.0,256.0
580,4,0.0,225.0,225.0,256.0
581,5,0.0,225.0,225.0,256.0
582,6,0.0,225.0,225.0,256.0
583,7,0.0,225.0,225.0,256.0
584,8,0.0,225.0,225.0,256.0
585,0,0.0,225.0,225.0,260.0
586,1,0.0,225.0,225.0,260.0
587,2,0.0,225.0,225.0,260.0
588,3,0.0,225.0,225.0,260.0
589,4,0.0,225.0,225.0,260.0
590,5,0.0,225.0,225.0,260.0
591,6,0.0,225.0,225.0,260.0
592,7,0.0,225.0,225.0,260.0
593,8,0.0,225.0,225.0,260.0
594,0,0.0,225.0,225.0,264.0
595,1,0.0,225.0,225.0,264.0
596,2,0.0,225.0,225.0,264.0
597,3,0.0,225.0,225.0,264.0
598,4,0.0,225.0,225.0,264.0
599,5,0.0,225.0,225.0,264.0
600,6,0.0,225.0,225.0,264.0
601,7,0.0,225.0,225.0,264.0
602,8,0.0,225.0,225.0,264.0
603,0,0.0,225.0,225.0,268.0
604,1,0.0,225.0,225.0,268.0
605,2,0.0,225.0,225.0,268.0
606,3,0.0,225.0,225.0,268.0
607,4,0.0,225.0,225.0,268.0
608,5,0.0,225.0,225.0,268.0
609,6,0.0,225.0,225.0,268.0
610,7,0.0,225.0,225.0,268.0
611,8,0.0,225.0,225.0,268.0
612,0,0.0,225.0,225.0,272.0
613,1,0.0,225.0,225.0,272.0
614,2,0.0,225.0,225.0,272.0
615,3,0.0,225.0,225.0,272.0
616,4,0.0,225.0,225.0,272.0
617,5,0.0,225.0,225.0,272.0
618,6,0.0,225.0,225.0,272.0
619,7,0.0,225.0,225.0,272.0
620,8,0.0,225.0,225.0,272.0
621,0,0.0,225.0,225.0,276.0
622,1,0.0,225.0,225.0,276.0
623,2,0.0,225.0,225.0,276.0
624,3,0.0,225.0,225.0,276.0
625,4,0.0,225.0,225.0,276.0
626,5,0.0,225.0,225.0,276.0
627,6,0.0,225.0,225.0,276.0
628,7,0.0,225.0,225.0,276.0
629,8,0.0,225.0,225.0,276.0
